Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
2004_WS_Mathe_1_ET_Opolka_1.pdf;922185;Felix;Haschke;105;"16.02.2023 19:32";2004_WS_Mathe_1_ET_Opolka_1.pdf
2004_WS_Mathe_1_ET_Opolka_2.pdf;966161;Felix;Haschke;76;"16.02.2023 19:32";2004_WS_Mathe_1_ET_Opolka_2.pdf
2006_SS_Mathe_1_ET_Hempel.pdf;409924;Felix;Haschke;74;"16.02.2023 19:32";2006_SS_Mathe_1_ET_Hempel.pdf
2007_SS_Mathe_1_ET_Wirths_Kubiak.pdf;546026;Felix;Haschke;81;"16.02.2023 19:32";2007_SS_Mathe_1_ET_Wirths_Kubiak.pdf
2007_WS_Mathe_1_ET_Wirths_Kubiak.pdf;590635;Felix;Haschke;71;"16.02.2023 19:32";2007_WS_Mathe_1_ET_Wirths_Kubiak.pdf
2008_WS_Mathe_1_ET_Opolka.pdf;2747918;Felix;Haschke;69;"16.02.2023 19:32";2008_WS_Mathe_1_ET_Opolka.pdf
2010_WS_Mathe_1_ET_Loewen_Lösung.pdf;134410;Felix;Haschke;82;"16.02.2023 19:32";2010_WS_Mathe_1_ET_Loewen_Lösung.pdf
2010_WS_Mathe_1_ET_Loewen.pdf;82693;Felix;Haschke;94;"16.02.2023 19:32";2010_WS_Mathe_1_ET_Loewen.pdf
2012_WS_Mathe_1_ET_Riedel_Probeklausur.pdf;69732;Felix;Haschke;79;"16.02.2023 19:32";2012_WS_Mathe_1_ET_Riedel_Probeklausur.pdf
2013_WS_Mathe_1_ET_Sonar.pdf;186055;Felix;Haschke;93;"16.02.2023 19:32";2013_WS_Mathe_1_ET_Sonar.pdf
2015_SS_Mathe_1_ET_Opolka.pdf;128071;Felix;Haschke;108;"16.02.2023 19:32";2015_SS_Mathe_1_ET_Opolka.pdf
2016_WS_Mathe_1_ET_Bach.pdf;90893;Felix;Haschke;257;"16.02.2023 19:32";2016_WS_Mathe_1_ET_Bach.pdf
2017_SS_Mathe_1_ET_Sonar.pdf;699530;Felix;Haschke;100;"16.02.2023 19:32";2017_SS_Mathe_1_ET_Sonar.pdf
2017_WS_Mathe_1_ET_Sonar.pdf;639098;Felix;Haschke;168;"16.02.2023 19:32";2017_WS_Mathe_1_ET_Sonar.pdf
2019_SS_Mathe_1_ET_Herrmann.pdf;302929;Felix;Haschke;385;"16.02.2023 19:32";2019_SS_Mathe_1_ET_Herrmann.pdf
2023_WS_LINA_ET_Bach.pdf;1436908;Felix;Haschke;514;"20.02.2023 14:41";2023_WS_LINA_ET_Bach.pdf
